地点,観測所番号,種別,日付,曜日,現地気圧(hPa),海面気圧(hPa),降水量合計(mm),最大1時間降水量(mm),最大10分間降水量(mm),平均気温(℃),最高気温(℃),最低気温(℃),平均湿度(%),最小湿度(%),平均風速(m/s),最大風速(m/s),最大風速の風向,最大瞬間風速(m/s),最大瞬間風速の風向,最多風向,日照時間(h),降雪合計(cm),最深積雪(cm),天気概況(昼),天気概況(夜),flags
クマガヤ,47626,官署,2025-07-01,火,1009.6,1013.2,2.0,1.5,1.0,28.7,36.5,24.7,76.0,43.0,2.0,6.3,東南東,10.5,東南東,,8.2,0.0,0.0,晴後曇一時雨、雷を伴う,曇時々雨、雷・霧を伴う,
クマガヤ,47626,官署,2025-07-02,水,1009.9,1013.5,0.0,0.0,0.0,28.6,33.8,24.5,76.0,57.0,1.7,3.1,北北西,5.6,南南東,,4.4,0.0,0.0,晴時々雨後曇、雷を伴う,曇後晴時々雨、雷を伴う,
クマガヤ,47626,官署,2025-07-03,木,1008.4,1011.9,0.0,0.0,0.0,29.3,35.7,25.4,72.0,49.0,2.6,5.4,南南東,9.1,南東,,9.3,0.0,0.0,晴時々曇、雷を伴う,曇時々晴、雷を伴う,
クマガヤ,47626,官署,2025-07-04,金,1005.0,1008.6,3.5,3.0,1.0,28.9,35.6,24.7,76.0,51.0,2.2,4.8,南南東,7.8,南南東,,7.2,0.0,0.0,曇時々晴一時雨、雷を伴う,雨一時晴後曇、雷を伴う,
クマガヤ,47626,官署,2025-07-05,土,1001.2,1004.8,0.0,0.0,0.0,28.1,33.2,23.8,79.0,59.0,2.0,3.8,南南西,6.0,南西,,4.3,0.0,0.0,曇一時雨後晴,曇時々雨、雷を伴う,
クマガヤ,47626,官署,2025-07-06,日,999.9,1003.5,5.5,4.0,2.0,30.1,35.6,24.5,73.0,48.0,2.2,4.6,東南東,7.6,東南東,,11.1,0.0,0.0,晴時々曇,曇時々晴,
クマガヤ,47626,官署,2025-07-07,月,1001.4,1004.9,0.0,0.0,0.0,30.9,36.6,27.3,72.0,48.0,2.4,4.8,南南東,8.2,南東,,4.5,0.0,0.0,曇後一時晴,曇,
クマガヤ,47626,官署,2025-07-08,火,1004.7,1008.2,0.0,0.0,0.0,31.1,36.9,28.1,70.0,40.0,2.7,4.8,南,8.3,南,,7.0,0.0,0.0,曇一時雨後晴,晴後曇一時雨,
クマガヤ,47626,官署,2025-07-09,水,1006.8,1010.4,0.0,0.0,0.0,30.8,36.9,27.1,69.0,46.0,2.7,5.6,南南東,10.4,南南東,,9.4,0.0,0.0,晴一時雨,曇時々晴,
クマガヤ,47626,官署,2025-07-10,木,1008.3,1011.9,89.5,76.5,23.0,27.8,35.7,22.5,82.0,53.0,2.6,9.0,東北東,15.7,北北東,,3.3,0.0,0.0,曇時々晴後大雨、雷を伴う,雨一時曇、雷を伴う,
クマガヤ,47626,官署,2025-07-11,金,1011.3,1015.0,4.0,2.0,0.5,23.0,25.3,21.1,86.0,75.0,2.6,3.8,東北東,6.0,東北東,,0.0,0.0,0.0,曇時々雨,曇時々雨,
クマガヤ,47626,官署,2025-07-12,土,1008.8,1012.5,0.0,0.0,0.0,23.1,26.0,20.6,77.0,65.0,2.2,3.7,東南東,6.0,南東,,0.0,0.0,0.0,曇,曇,
クマガヤ,47626,官署,2025-07-13,日,1003.7,1007.3,0.0,0.0,0.0,26.7,32.6,21.9,73.0,54.0,2.2,5.3,東南東,8.8,東南東,,8.8,0.0,0.0,晴時々曇,晴後曇時々雨,
クマガヤ,47626,官署,2025-07-14,月,996.2,999.8,2.5,1.5,1.0,27.3,31.3,23.3,80.0,63.0,3.1,7.6,南南東,13.5,南南東,,2.3,0.0,0.0,曇後雨時々晴,雨時々曇、雷を伴う,
クマガヤ,47626,官署,2025-07-15,火,1000.4,1004.0,14.0,5.0,2.5,27.2,30.8,25.6,90.0,74.0,3.9,6.8,南東,12.2,南東,,0.4,0.0,0.0,雨時々曇、雷を伴う,曇時々雨,
クマガヤ,47626,官署,2025-07-16,水,1009.5,1013.1,1.5,1.0,0.5,27.5,32.6,24.4,84.0,65.0,3.5,7.5,南東,12.5,南南東,,4.5,0.0,0.0,曇時々晴一時雨,雨時々曇,
クマガヤ,47626,官署,2025-07-17,木,1013.1,1016.7,0.5,1.5,0.5,28.3,33.1,24.9,76.0,53.0,3.7,7.5,南東,12.3,南南東,,6.5,0.0,0.0,曇後時々晴,曇時々晴,
クマガヤ,47626,官署,2025-07-18,金,1013.3,1016.9,0.0,0.0,0.0,28.0,34.7,22.4,72.0,52.0,2.5,6.3,南東,10.5,南南東,,9.7,0.0,0.0,曇時々晴,晴時々曇,
クマガヤ,47626,官署,2025-07-19,土,1012.9,1016.5,0.0,0.0,0.0,28.7,35.1,24.1,71.0,44.0,2.3,4.7,南南東,8.1,南東,,8.3,0.0,0.0,曇後時々晴,晴時々曇,
クマガヤ,47626,官署,2025-07-20,日,1012.6,1016.2,0.0,0.0,0.0,29.7,36.2,24.6,72.0,44.0,2.2,5.1,南南東,7.9,南東,,12.2,0.0,0.0,晴,晴,
クマガヤ,47626,官署,2025-07-21,月,1012.4,1016.0,0.0,0.0,0.0,30.8,37.5,26.0,72.0,43.0,2.1,4.5,南東,6.4,南東,,11.3,0.0,0.0,晴、雷を伴う,晴時々曇,
クマガヤ,47626,官署,2025-07-22,火,1011.1,1014.7,0.0,0.0,0.0,30.8,37.3,26.8,73.0,42.0,2.2,7.0,南南東,12.8,南東,,9.4,0.0,0.0,晴後時々曇、雷を伴う,曇後晴,
クマガヤ,47626,官署,2025-07-23,水,1009.4,1012.9,2.5,2.5,2.5,30.5,37.5,26.4,73.0,47.0,1.8,5.6,東南東,11.9,東南東,,10.4,0.0,0.0,晴後雨一時曇、雷を伴う,曇一時雨後晴,
