区分,項目,単位,2026年7月,2025年7月,差,比,観測日数注意
月間値,月平均気温,℃,27.6,29.1,-1.5,,
月間値,日最高気温の平均,℃,32.5,35.0,-2.5,,
月間値,日最低気温の平均,℃,23.9,24.9,-1.0,,
月間値,月間最高気温,℃,39.6,38.4,1.2,,
月間値,月間最低気温,℃,19.7,20.6,-0.9,,
月間値,月降水量,mm,226.0,125.5,100.5,1.801,
月間値,日降水量の最大,mm,114.5,89.5,25.0,1.279,
月間値,月平均湿度,%,71.4,73.3,-1.9,,
月間値,月間日照時間,時間,161.4,241.7,-80.3,0.668,
月間値,最大風速,m/s,8.3,9.0,-0.7,,
月間値,最大瞬間風速,m/s,15.2,15.7,-0.5,,
日数,真夏日（最高 30℃ 以上）,日,21,29,-8,,
日数,猛暑日（最高 35℃ 以上）,日,12,20,-8,,
日数,熱帯夜（最低 25℃ 以上）,日,14,15,-1,,
日数,降水日（1mm 以上）,日,9,9,0,,
日数,大雨日（50mm 以上）,日,2,1,1,,
旬別（上旬）,平均気温,℃,24.1,29.4,-5.3,,
旬別（上旬）,降水量,mm,44.0,100.5,-56.5,,
旬別（上旬）,日照時間,時間,32.9,68.7,-35.8,,
旬別（中旬）,平均気温,℃,28.8,26.9,1.9,,
旬別（中旬）,降水量,mm,179.5,22.5,157.0,,
旬別（中旬）,日照時間,時間,49.5,52.7,-3.2,,
旬別（下旬）,平均気温,℃,29.7,30.7,-1.0,,
旬別（下旬）,降水量,mm,2.5,2.5,0.0,,
旬別（下旬）,日照時間,時間,79.0,120.3,-41.3,,
