区分,項目,単位,2026年7月,2025年7月,差,比,観測日数注意
月間値,月平均気温,℃,29.7,30.3,-0.6,,
月間値,日最高気温の平均,℃,34.2,35.5,-1.3,,
月間値,日最低気温の平均,℃,26.2,26.3,-0.1,,
月間値,月間最高気温,℃,38.4,38.4,0.0,,
月間値,月間最低気温,℃,21.2,24.1,-2.9,,
月間値,月降水量,mm,82.0,32.0,50.0,2.562,
月間値,日降水量の最大,mm,24.5,17.0,7.5,1.441,
月間値,月平均湿度,%,69.5,66.9,2.6,,
月間値,月間日照時間,時間,269.4,309.3,-39.9,0.871,
月間値,最大風速,m/s,7.8,7.5,0.3,,
月間値,最大瞬間風速,m/s,13.0,10.8,2.2,,
日数,真夏日（最高 30℃ 以上）,日,26,29,-3,,
日数,猛暑日（最高 35℃ 以上）,日,18,20,-2,,
日数,熱帯夜（最低 25℃ 以上）,日,20,27,-7,,
日数,降水日（1mm 以上）,日,5,3,2,,
日数,大雨日（50mm 以上）,日,0,0,0,,
旬別（上旬）,平均気温,℃,25.6,30.8,-5.2,,
旬別（上旬）,降水量,mm,82.0,0.0,82.0,,
旬別（上旬）,日照時間,時間,46.1,102.5,-56.4,,
旬別（中旬）,平均気温,℃,30.9,29.3,1.6,,
旬別（中旬）,降水量,mm,0.0,32.0,-32.0,,
旬別（中旬）,日照時間,時間,105.7,70.2,35.5,,
旬別（下旬）,平均気温,℃,32.4,30.9,1.5,,
旬別（下旬）,降水量,mm,0.0,0.0,0.0,,
旬別（下旬）,日照時間,時間,117.6,136.6,-19.0,,
