地点,観測所番号,種別,日付,曜日,現地気圧(hPa),海面気圧(hPa),降水量合計(mm),最大1時間降水量(mm),最大10分間降水量(mm),平均気温(℃),最高気温(℃),最低気温(℃),平均湿度(%),最小湿度(%),平均風速(m/s),最大風速(m/s),最大風速の風向,最大瞬間風速(m/s),最大瞬間風速の風向,最多風向,日照時間(h),降雪合計(cm),最深積雪(cm),天気概況(昼),天気概況(夜),flags
タカマツ,47891,官署,2026-07-01,水,1008.7,1009.9,24.5,6.0,2.0,23.3,24.9,22.3,94.0,86.0,1.4,3.4,東北東,5.8,東北東,,0.0,0.0,0.0,雨,雨時々曇,
タカマツ,47891,官署,2026-07-02,木,1006.4,1007.6,14.5,5.0,2.0,26.2,30.7,23.0,78.0,58.0,3.6,7.8,西,13.0,西南西,,6.1,0.0,0.0,雨後晴時々曇,曇後晴,
タカマツ,47891,官署,2026-07-03,金,1010.8,1012.0,0.0,0.0,0.0,25.8,30.2,21.2,65.0,46.0,1.7,3.6,北北西,6.7,北北東,,11.0,0.0,0.0,晴後時々曇,曇後一時雨,
タカマツ,47891,官署,2026-07-04,土,1008.7,1009.9,16.5,6.5,2.0,23.6,25.6,22.0,89.0,68.0,1.4,3.9,北北西,6.0,北北西,,0.0,0.0,0.0,雨,曇時々雨,
タカマツ,47891,官署,2026-07-05,日,1007.8,1009.0,7.0,4.0,1.5,24.5,27.5,22.5,92.0,77.0,1.2,4.1,西南西,6.2,西南西,,0.4,0.0,0.0,雨時々曇,曇時々雨,
タカマツ,47891,官署,2026-07-06,月,1007.4,1008.6,19.5,9.5,3.5,24.9,28.2,23.4,94.0,79.0,1.2,3.4,西,5.1,西,,0.9,0.0,0.0,雨時々曇,曇時々雨,
タカマツ,47891,官署,2026-07-07,火,1009.9,1011.1,0.0,0.0,0.0,25.6,29.4,23.2,84.0,69.0,2.1,4.3,東,6.2,東,,3.7,0.0,0.0,曇後一時晴,曇時々晴一時雨,
タカマツ,47891,官署,2026-07-08,水,1011.3,1012.5,0.0,0.0,0.0,27.0,32.2,24.0,78.0,58.0,2.0,4.2,北,6.8,北北西,,5.4,0.0,0.0,曇時々晴,曇時々晴,
タカマツ,47891,官署,2026-07-09,木,1012.3,1013.5,0.0,0.0,0.0,27.0,31.8,23.8,78.0,55.0,2.1,4.5,北,6.8,北北西,,6.0,0.0,0.0,晴後一時曇,晴時々曇,
タカマツ,47891,官署,2026-07-10,金,1013.3,1014.5,0.0,0.0,0.0,27.8,32.5,23.6,73.0,52.0,2.0,4.8,北,7.0,北北西,,12.6,0.0,0.0,晴,晴,
タカマツ,47891,官署,2026-07-11,土,1013.1,1014.3,0.0,0.0,0.0,28.6,33.0,24.6,74.0,55.0,1.8,4.0,北北西,6.3,東北東,,11.5,0.0,0.0,晴後時々曇,曇後時々晴,
