地点,観測所番号,種別,日付,曜日,現地気圧(hPa),海面気圧(hPa),降水量合計(mm),最大1時間降水量(mm),最大10分間降水量(mm),平均気温(℃),最高気温(℃),最低気温(℃),平均湿度(%),最小湿度(%),平均風速(m/s),最大風速(m/s),最大風速の風向,最大瞬間風速(m/s),最大瞬間風速の風向,最多風向,日照時間(h),降雪合計(cm),最深積雪(cm),天気概況(昼),天気概況(夜),flags
イイヅカ,47809,官署,2026-07-01,水,1003.7,1008.1,60.0,11.5,5.0,23.7,26.3,21.6,94.0,84.0,2.6,6.6,南,14.8,南南西,,0.0,,,,,
イイヅカ,47809,官署,2026-07-02,木,1006.0,1010.3,26.0,16.5,5.5,23.0,27.2,20.4,87.0,69.0,1.7,3.7,北,6.6,北,,0.6,,,,,
イイヅカ,47809,官署,2026-07-03,金,1008.3,1012.6,0.5,0.5,0.5,23.5,29.2,19.6,83.0,57.0,1.1,3.4,北,5.5,南西,,1.8,,,,,
イイヅカ,47809,官署,2026-07-04,土,1004.6,1008.9,46.0,20.0,10.5,25.2,29.7,21.8,87.0,67.0,1.8,4.6,西,9.0,西南西,,0.1,,,,,
イイヅカ,47809,官署,2026-07-05,日,1004.2,1008.5,83.0,42.5,11.0,24.6,27.6,23.2,95.0,75.0,1.7,5.0,北,9.1,北,,0.0,,,,,
イイヅカ,47809,官署,2026-07-06,月,1004.1,1008.4,33.0,13.5,9.0,25.8,29.8,23.2,91.0,74.0,1.6,5.2,北西,12.5,西北西,,1.5,,,,,
イイヅカ,47809,官署,2026-07-07,火,1005.3,1009.5,0.0,0.0,0.0,28.6,33.8,24.1,78.0,59.0,2.5,5.0,南南西,9.7,南南西,,8.5,,,,,
イイヅカ,47809,官署,2026-07-08,水,1006.3,1010.6,0.0,0.0,0.0,29.5,35.4,26.1,74.0,45.0,2.4,5.4,南西,9.6,南西,,12.3,,,,,
イイヅカ,47809,官署,2026-07-09,木,1007.3,1011.6,0.0,0.0,0.0,28.8,33.8,25.9,74.0,51.0,1.4,3.7,北北西,6.8,北西,,4.6,,,,,
イイヅカ,47809,官署,2026-07-10,金,1008.3,1012.5,0.0,0.0,0.0,28.8,34.3,24.5,74.0,54.0,1.7,3.6,東北東,7.4,北東,,11.0,,,,,
イイヅカ,47809,官署,2026-07-11,土,1008.1,1012.3,0.0,0.0,0.0,29.6,34.6,25.1,74.0,56.0,1.8,3.4,東,7.8,東,,13.4,,,,,
イイヅカ,47809,官署,2026-07-12,日,1008.4,1012.7,0.0,0.0,0.0,30.7,37.4,25.7,69.0,42.0,1.8,4.4,南南西,8.2,南南西,,11.4,,,,,
イイヅカ,47809,官署,2026-07-13,月,1007.7,1012.0,0.0,0.0,0.0,30.5,36.1,26.5,70.0,47.0,2.3,5.0,南南西,8.5,南南西,,12.6,,,,,
イイヅカ,47809,官署,2026-07-14,火,1005.5,1009.8,0.0,0.0,0.0,30.3,35.3,27.2,67.0,49.0,3.4,5.3,南南西,10.0,南南西,,10.8,,,,,
イイヅカ,47809,官署,2026-07-15,水,1000.5,1004.8,0.0,0.0,0.0,29.5,33.4,26.9,76.0,60.0,4.5,6.8,南南西,12.8,南西,,6.2,,,,,
イイヅカ,47809,官署,2026-07-16,木,999.0,1003.3,0.0,0.0,0.0,30.4,35.7,27.4,72.0,35.0,3.1,4.8,南南西,8.9,南南西,,7.5,,,,,
イイヅカ,47809,官署,2026-07-17,金,998.9,1003.1,0.0,0.0,0.0,29.9,34.1,27.5,76.0,61.0,3.1,5.3,南南西,10.0,南西,,2.3,,,,,
イイヅカ,47809,官署,2026-07-18,土,998.8,1003.0,0.0,0.0,0.0,30.5,35.0,27.4,71.0,52.0,3.1,5.1,南西,9.6,南西,,7.9,,,,,
イイヅカ,47809,官署,2026-07-19,日,1001.3,1005.5,0.0,0.0,0.0,31.0,36.4,27.5,71.0,49.0,2.5,6.2,南西,9.2,南西,,9.0,,,,,
イイヅカ,47809,官署,2026-07-20,月,1004.2,1008.4,0.0,0.0,0.0,30.6,36.1,27.8,71.0,47.0,2.4,4.4,北北西,7.8,南西,,7.1,,,,,
イイヅカ,47809,官署,2026-07-21,火,1005.2,1009.5,0.0,0.0,0.0,30.7,36.7,26.2,70.0,44.0,1.9,4.5,西南西,9.1,南東,,11.4,,,,,
イイヅカ,47809,官署,2026-07-22,水,1005.8,1010.0,0.0,0.0,0.0,30.5,37.3,26.6,69.0,43.0,1.6,4.5,北北西,8.0,北,,11.3,,,,,
イイヅカ,47809,官署,2026-07-23,木,1005.8,1010.0,0.0,0.0,0.0,30.2,35.9,25.7,67.0,49.0,1.8,4.9,西北西,9.2,西北西,,11.1,,,,,
イイヅカ,47809,官署,2026-07-24,金,1007.3,1011.6,0.0,0.0,0.0,30.0,35.5,24.9,68.0,47.0,1.8,5.3,北,8.9,北,,12.3,,,,,
イイヅカ,47809,官署,2026-07-25,土,1007.6,1011.9,0.0,0.0,0.0,30.1,35.9,25.7,70.0,46.0,1.7,4.4,北西,7.9,北,,10.9,,,,,
イイヅカ,47809,官署,2026-07-26,日,1006.4,1010.6,0.0,0.0,0.0,30.3,36.4,25.1,71.0,48.0,1.7,4.1,北北西,6.6,北,,9.6,,,,,
イイヅカ,47809,官署,2026-07-27,月,1008.0,1012.2,0.0,0.0,0.0,30.9,37.4,26.3,70.0,45.0,1.7,5.2,北,8.5,北,,12.8,,,,,
イイヅカ,47809,官署,2026-07-28,火,1009.2,1013.5,0.0,0.0,0.0,30.8,36.8,26.3,64.0,38.0,2.2,5.9,西北西,9.9,西北西,,11.3,,,,,
イイヅカ,47809,官署,2026-07-29,水,1006.5,1010.7,0.0,0.0,0.0,30.4,35.6,27.3,65.0,43.0,2.8,5.5,西北西,9.7,西北西,,2.7,,,,,
イイヅカ,47809,官署,2026-07-30,木,1004.7,1008.9,0.0,0.0,0.0,30.1,35.5,26.5,66.0,45.0,2.8,4.8,西,8.5,西北西,,7.3,,,,,
イイヅカ,47809,官署,2026-07-31,金,1003.4,1007.7,0.0,0.0,0.0,30.0,36.3,25.0,67.0,44.0,2.1,4.9,西,8.4,西南西,,10.6,,,,,
フクオカ,47807,官署,2026-07-01,水,1006.2,1007.9,60.0,17.0,6.0,24.6,27.8,21.8,90.0,78.0,2.7,6.5,南南西,12.4,南南東,,0.0,0.0,0.0,雨、雷を伴う,大雨時々曇、雷を伴う,
フクオカ,47807,官署,2026-07-02,木,1008.8,1010.5,18.5,17.0,2.0,23.5,27.4,21.6,88.0,72.0,2.8,6.2,北,8.7,北,,3.0,0.0,0.0,曇一時雨,晴一時曇,wind_gust=);wind_gust_dir=);wind_max=);wind_max_dir=);wind_mean=)
フクオカ,47807,官署,2026-07-03,金,1011.0,1012.7,0.0,0.0,0.0,24.2,29.0,20.4,82.0,65.0,2.0,5.4,北,7.2,北,,5.0,0.0,0.0,曇一時晴後一時雨,雨時々曇、雷を伴う,
フクオカ,47807,官署,2026-07-04,土,1007.1,1008.8,47.0,24.5,14.5,26.2,30.3,22.4,83.0,66.0,2.4,5.6,西南西,11.1,南西,,0.2,0.0,0.0,曇時々大雨、雷を伴う,曇時々雨、雷を伴う,
フクオカ,47807,官署,2026-07-05,日,1006.9,1008.6,86.0,40.0,14.0,25.5,28.5,23.7,91.0,70.0,1.8,5.2,北北西,9.7,北西,,0.1,0.0,0.0,大雨時々曇、雷を伴う,大雨時々曇,
フクオカ,47807,官署,2026-07-06,月,1006.8,1008.5,31.0,18.5,13.5,26.3,29.7,23.5,89.0,71.0,1.7,6.2,北西,11.0,北北西,,1.7,0.0,0.0,曇時々雨,晴時々曇,
フクオカ,47807,官署,2026-07-07,火,1007.8,1009.5,0.0,0.0,0.0,28.7,33.7,25.4,80.0,62.0,2.4,5.7,北,7.5,北,,8.4,0.0,0.0,晴後曇一時雨,晴時々曇,
フクオカ,47807,官署,2026-07-08,水,1008.8,1010.5,0.0,0.0,0.0,29.8,35.3,26.7,74.0,49.0,2.7,5.6,北,8.4,南南西,,6.7,0.0,0.0,晴時々曇,晴後一時曇,
フクオカ,47807,官署,2026-07-09,木,1010.1,1011.8,0.0,0.0,0.0,29.1,32.6,26.4,73.0,55.0,2.7,7.6,北,9.6,北,,7.9,0.0,0.0,晴後一時曇,晴時々曇,
フクオカ,47807,官署,2026-07-10,金,1010.5,1012.2,0.0,0.0,0.0,30.8,35.4,26.5,63.0,45.0,2.9,6.3,北,9.1,北北東,,10.9,0.0,0.0,晴後一時曇,曇時々晴,
フクオカ,47807,官署,2026-07-11,土,1010.1,1011.8,0.0,0.0,0.0,32.2,36.3,28.0,61.0,45.0,2.9,6.6,北,8.1,北北西,,13.5,0.0,0.0,晴,晴,
フクオカ,47807,官署,2026-07-12,日,1010.8,1012.5,0.0,0.0,0.0,31.8,36.7,28.6,63.0,43.0,2.9,6.3,北,11.0,南東,,10.9,0.0,0.0,晴一時曇,曇時々晴,
フクオカ,47807,官署,2026-07-13,月,1010.3,1012.0,0.0,0.0,0.0,30.9,34.4,27.9,70.0,55.0,2.6,6.1,北,8.1,北,,11.2,0.0,0.0,晴後一時曇,晴,
フクオカ,47807,官署,2026-07-14,火,1008.0,1009.7,0.0,0.0,0.0,31.3,35.1,28.5,62.0,52.0,3.3,6.2,南,10.6,南南西,,9.5,0.0,0.0,晴,晴後曇一時雨,
