区分,項目,単位,2026年7月,2025年7月,差,比,観測日数注意
月間値,月平均気温,℃,29.6,30.1,-0.5,,
月間値,日最高気温の平均,℃,34.1,35.5,-1.4,,
月間値,日最低気温の平均,℃,26.0,26.1,-0.1,,
月間値,月間最高気温,℃,38.8,37.9,0.9,,
月間値,月間最低気温,℃,21.2,23.7,-2.5,,
月間値,月降水量,mm,336.0,43.0,293.0,7.814,
月間値,日降水量の最大,mm,108.0,20.5,87.5,5.268,
月間値,月平均湿度,%,73.6,67.7,5.9,,
月間値,月間日照時間,時間,237.1,288.9,-51.8,0.821,
月間値,最大風速,m/s,10.3,12.5,-2.2,,
月間値,最大瞬間風速,m/s,15.7,16.0,-0.3,,
日数,真夏日（最高 30℃ 以上）,日,26,29,-3,,
日数,猛暑日（最高 35℃ 以上）,日,17,23,-6,,
日数,熱帯夜（最低 25℃ 以上）,日,25,25,0,,
日数,降水日（1mm 以上）,日,6,7,-1,,
日数,大雨日（50mm 以上）,日,3,0,3,,
旬別（上旬）,平均気温,℃,27.0,30.4,-3.4,,
旬別（上旬）,降水量,mm,334.0,6.0,328.0,,
旬別（上旬）,日照時間,時間,49.2,99.6,-50.4,,
旬別（中旬）,平均気温,℃,30.4,28.8,1.6,,
旬別（中旬）,降水量,mm,2.0,37.0,-35.0,,
旬別（中旬）,日照時間,時間,74.0,62.1,11.9,,
旬別（下旬）,平均気温,℃,31.1,31.2,-0.1,,
旬別（下旬）,降水量,mm,0.0,0.0,0.0,,
旬別（下旬）,日照時間,時間,113.9,127.2,-13.3,,
