地点,観測所番号,種別,日付,曜日,現地気圧(hPa),海面気圧(hPa),降水量合計(mm),最大1時間降水量(mm),最大10分間降水量(mm),平均気温(℃),最高気温(℃),最低気温(℃),平均湿度(%),最小湿度(%),平均風速(m/s),最大風速(m/s),最大風速の風向,最大瞬間風速(m/s),最大瞬間風速の風向,最多風向,日照時間(h),降雪合計(cm),最深積雪(cm),天気概況(昼),天気概況(夜),flags
ナガサキ,47817,官署,2026-07-01,水,1004.9,1009.0,47.0,19.0,6.5,25.5,27.5,22.9,88.0,80.0,4.5,9.8,南西,18.4,南,,0.0,0.0,0.0,雨時々曇、雷を伴う,大雨時々曇、雷を伴う,
ナガサキ,47817,官署,2026-07-02,木,1006.2,1010.3,19.0,16.5,9.0,25.0,28.1,23.2,82.0,68.0,3.4,10.7,南西,20.6,南西,,4.5,0.0,0.0,曇時々晴,曇時々晴一時雨,
ナガサキ,47817,官署,2026-07-03,金,1008.8,1013.0,6.0,2.5,1.0,23.5,26.1,21.9,86.0,72.0,1.1,3.8,西,5.1,西北西,,0.1,0.0,0.0,雨時々曇,雨時々曇,
ナガサキ,47817,官署,2026-07-04,土,1005.9,1010.0,0.5,0.5,0.5,25.3,26.6,21.8,91.0,86.0,3.8,10.4,南南西,18.0,南南西,,0.0,0.0,0.0,曇時々雨,雨時々曇一時晴,
ナガサキ,47817,官署,2026-07-05,日,1004.9,1009.0,65.5,39.5,22.0,25.6,27.7,23.5,91.0,76.0,3.3,9.3,西北西,17.6,西北西,,0.4,0.0,0.0,大雨時々曇、雷を伴う,雨時々曇,
ナガサキ,47817,官署,2026-07-06,月,1005.2,1009.3,19.5,15.5,9.5,25.6,27.1,24.0,88.0,79.0,2.8,6.3,南南西,12.7,南,,1.6,0.0,0.0,曇時々雨、雷を伴う,曇時々雨一時晴,
ナガサキ,47817,官署,2026-07-07,火,1006.2,1010.3,0.0,0.0,0.0,27.3,30.9,25.0,86.0,71.0,1.9,4.5,南西,7.4,西南西,,6.1,0.0,0.0,曇一時雨後時々晴,曇時々晴一時雨,
ナガサキ,47817,官署,2026-07-08,水,1007.0,1011.1,0.0,0.0,0.0,28.0,32.1,24.9,78.0,59.0,2.0,5.4,南西,9.0,南西,,7.9,0.0,0.0,曇一時雨後晴,晴,
ナガサキ,47817,官署,2026-07-09,木,1007.7,1011.8,0.0,0.0,0.0,28.6,33.2,24.1,68.0,48.0,1.5,4.6,西,6.7,西北西,,12.4,0.0,0.0,晴,晴一時曇,
ナガサキ,47817,官署,2026-07-10,金,1008.0,1012.0,0.0,0.0,0.0,29.6,34.4,25.3,64.0,51.0,1.7,4.4,南西,6.3,東南東,,12.5,0.0,0.0,晴,曇時々晴,
ナガサキ,47817,官署,2026-07-11,土,1007.6,1011.7,0.0,0.0,0.0,30.8,35.4,27.3,61.0,47.0,1.4,2.7,東南東,7.0,東北東,,12.4,0.0,0.0,晴一時曇,晴時々曇,
ナガサキ,47817,官署,2026-07-12,日,1008.8,1012.8,0.0,0.0,0.0,30.3,34.5,27.1,66.0,52.0,2.1,5.6,南西,10.0,南西,,12.0,0.0,0.0,晴一時曇,曇時々晴,
ナガサキ,47817,官署,2026-07-13,月,1008.6,1012.6,0.0,0.0,0.0,29.4,33.1,27.5,73.0,57.0,2.4,4.9,南西,8.4,南西,,9.2,0.0,0.0,晴時々曇,晴,
ナガサキ,47817,官署,2026-07-14,火,1006.8,1010.9,0.0,0.0,0.0,28.8,31.9,26.8,75.0,64.0,3.1,5.0,南西,9.7,南,,6.0,0.0,0.0,晴後一時雨,曇時々晴後雨,
ナガサキ,47817,官署,2026-07-15,水,1002.6,1006.7,0.0,0.0,0.0,28.0,29.7,27.1,84.0,75.0,4.6,6.9,南南西,11.5,南南西,,0.6,0.0,0.0,曇時々雨,雨時々曇,
ナガサキ,47817,官署,2026-07-16,木,1000.6,1004.7,0.0,0.0,0.0,28.0,30.0,26.9,83.0,74.0,2.9,5.0,南西,8.4,南南西,,0.4,0.0,0.0,曇時々雨,曇時々雨一時晴,
ナガサキ,47817,官署,2026-07-17,金,999.9,1003.9,0.0,0.0,0.0,28.3,31.5,27.0,83.0,73.0,1.9,4.0,南西,6.0,西,,1.1,0.0,0.0,曇時々雨一時晴,曇後一時晴,
ナガサキ,47817,官署,2026-07-18,土,999.6,1003.7,0.0,0.0,0.0,28.9,32.7,26.7,78.0,61.0,2.0,4.8,南南西,7.9,南西,,5.9,0.0,0.0,曇時々雨後晴,晴後曇時々雨,
ナガサキ,47817,官署,2026-07-19,日,1002.1,1006.1,1.5,1.5,1.5,29.4,32.4,26.9,79.0,67.0,2.3,5.3,南西,8.1,南西,,8.3,0.0,0.0,雨時々曇後晴,曇時々晴,
ナガサキ,47817,官署,2026-07-20,月,1004.7,1008.8,0.0,0.0,0.0,29.7,33.4,27.5,77.0,58.0,2.4,4.7,南西,8.7,西,,9.5,0.0,0.0,晴時々曇,晴後時々曇,
ナガサキ,47817,官署,2026-07-21,火,1006.0,1010.1,0.0,0.0,0.0,29.6,33.6,27.2,76.0,57.0,2.0,4.3,南西,6.7,南西,,10.9,0.0,0.0,晴,晴,
ナガサキ,47817,官署,2026-07-22,水,1006.3,1010.4,0.0,0.0,0.0,29.6,33.5,26.8,74.0,59.0,2.0,4.7,西,7.4,西,,11.1,0.0,0.0,晴,晴,
ナガサキ,47817,官署,2026-07-23,木,1006.5,1010.5,0.0,0.0,0.0,29.5,33.4,26.6,76.0,59.0,2.0,5.0,西,7.2,南西,,11.2,0.0,0.0,晴,晴,
ナガサキ,47817,官署,2026-07-24,金,1007.9,1011.9,0.0,0.0,0.0,29.7,33.9,26.6,75.0,58.0,2.2,4.7,西,8.0,西,,12.3,0.0,0.0,晴,晴,
ナガサキ,47817,官署,2026-07-25,土,1008.1,1012.2,0.0,0.0,0.0,30.1,34.4,27.0,74.0,58.0,2.2,5.0,西南西,8.1,西南西,,11.6,0.0,0.0,晴,晴,
ナガサキ,47817,官署,2026-07-26,日,1006.9,1010.9,0.0,0.0,0.0,30.0,34.2,26.2,73.0,61.0,2.1,4.9,西,8.3,西,,8.6,0.0,0.0,晴時々曇,晴,
ナガサキ,47817,官署,2026-07-27,月,1008.5,1012.6,0.0,0.0,0.0,30.5,34.8,27.4,71.0,50.0,2.3,4.5,南西,7.1,南西,,12.3,0.0,0.0,晴,晴後時々曇,
ナガサキ,47817,官署,2026-07-28,火,1010.2,1014.3,0.0,0.0,0.0,29.8,34.5,26.8,75.0,54.0,2.2,5.5,西,8.7,西,,12.0,0.0,0.0,晴一時曇,晴後時々曇,
ナガサキ,47817,官署,2026-07-29,水,1007.8,1011.9,0.0,0.0,0.0,29.8,33.2,27.4,73.0,57.0,2.4,5.2,西,8.8,西南西,,7.6,0.0,0.0,曇時々晴一時雨,晴時々曇,
ナガサキ,47817,官署,2026-07-30,木,1006.1,1010.1,0.0,0.0,0.0,29.5,33.3,27.5,72.0,52.0,2.9,6.0,西,9.2,西北西,,10.2,0.0,0.0,曇時々晴,晴,
ナガサキ,47817,官署,2026-07-31,金,1004.6,1008.6,0.0,0.0,0.0,29.6,33.4,27.4,73.0,54.0,2.7,5.8,西,9.0,西北西,,11.3,0.0,0.0,晴,晴後一時曇,
イヅハラ,47800,官署,2026-07-01,水,1006.6,1007.1,143.5,45.5,11.5,22.6,25.4,20.6,95.0,84.0,2.9,13.1,南,23.7,南南西,,0.1,,,,,
イヅハラ,47800,官署,2026-07-02,木,1010.5,1011.0,0.5,0.5,0.5,22.2,25.4,20.1,90.0,74.0,1.4,3.2,北東,5.2,東北東,,0.9,,,,,
イヅハラ,47800,官署,2026-07-03,金,1012.1,1012.6,0.0,0.0,0.0,22.3,25.5,19.3,91.0,72.0,1.3,3.8,南東,5.3,南南東,,2.4,,,,,
イヅハラ,47800,官署,2026-07-04,土,1008.0,1008.5,27.0,17.5,11.0,23.2,26.2,20.9,92.0,79.0,1.9,4.8,南西,8.9,南西,,0.3,,,,,
イヅハラ,47800,官署,2026-07-05,日,1007.0,1007.5,7.0,3.0,2.0,25.1,26.8,23.6,88.0,77.0,3.9,7.8,西北西,13.6,西北西,,0.2,,,,,
イヅハラ,47800,官署,2026-07-06,月,1007.3,1007.8,33.0,25.5,8.0,25.6,28.8,23.7,89.0,73.0,2.8,6.6,南南西,10.7,南南西,,3.1,,,,,
イヅハラ,47800,官署,2026-07-07,火,1008.6,1009.1,0.0,0.0,0.0,26.6,29.0,24.7,89.0,77.0,3.0,6.4,南,10.2,南,,0.6,,,,,
イヅハラ,47800,官署,2026-07-08,水,1009.6,1010.1,0.0,0.0,0.0,27.6,31.5,23.7,81.0,62.0,4.8,7.8,南,13.4,南南東,,8.1,,,,,
イヅハラ,47800,官署,2026-07-09,木,1011.1,1011.6,0.0,0.0,0.0,27.8,31.4,24.2,74.0,58.0,4.3,8.0,南南西,12.2,南南西,,12.2,,,,,
イヅハラ,47800,官署,2026-07-10,金,1012.2,1012.7,0.0,0.0,0.0,26.3,31.4,23.4,86.0,68.0,1.0,2.6,南東,4.5,東北東,,9.1,,,,,
イヅハラ,47800,官署,2026-07-11,土,1011.9,1012.4,0.0,0.0,0.0,26.9,31.1,23.5,85.0,68.0,1.2,3.6,東,5.3,東北東,,12.4,,,,,
