地点,観測所番号,種別,日付,曜日,現地気圧(hPa),海面気圧(hPa),降水量合計(mm),最大1時間降水量(mm),最大10分間降水量(mm),平均気温(℃),最高気温(℃),最低気温(℃),平均湿度(%),最小湿度(%),平均風速(m/s),最大風速(m/s),最大風速の風向,最大瞬間風速(m/s),最大瞬間風速の風向,最多風向,日照時間(h),降雪合計(cm),最深積雪(cm),天気概況(昼),天気概況(夜),flags
アソサン,47821,官署,2026-07-01,水,,,,,,,,,,,,,,,,,,,,,,
アソサン,47821,官署,2026-07-02,木,,,,,,,,,,,,,,,,,,,,,,
アソサン,47821,官署,2026-07-03,金,,,,,,,,,,,,,,,,,,,,,,
アソサン,47821,官署,2026-07-04,土,,,,,,,,,,,,,,,,,,,,,,
アソサン,47821,官署,2026-07-05,日,,,,,,,,,,,,,,,,,,,,,,
アソサン,47821,官署,2026-07-06,月,,,,,,,,,,,,,,,,,,,,,,
アソサン,47821,官署,2026-07-07,火,,,,,,,,,,,,,,,,,,,,,,
アソサン,47821,官署,2026-07-08,水,,,,,,,,,,,,,,,,,,,,,,
アソサン,47821,官署,2026-07-09,木,,,,,,,,,,,,,,,,,,,,,,
アソサン,47821,官署,2026-07-10,金,,,,,,,,,,,,,,,,,,,,,,
アソサン,47821,官署,2026-07-11,土,,,,,,,,,,,,,,,,,,,,,,
アソサン,47821,官署,2026-07-12,日,,,,,,,,,,,,,,,,,,,,,,
アソサン,47821,官署,2026-07-13,月,,,,,,,,,,,,,,,,,,,,,,
アソサン,47821,官署,2026-07-14,火,,,,,,,,,,,,,,,,,,,,,,
アソサン,47821,官署,2026-07-15,水,,,,,,,,,,,,,,,,,,,,,,
アソサン,47821,官署,2026-07-16,木,,,,,,,,,,,,,,,,,,,,,,
アソサン,47821,官署,2026-07-17,金,,,,,,,,,,,,,,,,,,,,,,
アソサン,47821,官署,2026-07-18,土,,,,,,,,,,,,,,,,,,,,,,
アソサン,47821,官署,2026-07-19,日,,,,,,,,,,,,,,,,,,,,,,
アソサン,47821,官署,2026-07-20,月,,,,,,,,,,,,,,,,,,,,,,
アソサン,47821,官署,2026-07-21,火,,,,,,,,,,,,,,,,,,,,,,
アソサン,47821,官署,2026-07-22,水,,,,,,,,,,,,,,,,,,,,,,
アソサン,47821,官署,2026-07-23,木,,,,,,,,,,,,,,,,,,,,,,
アソサン,47821,官署,2026-07-24,金,,,,,,,,,,,,,,,,,,,,,,
アソサン,47821,官署,2026-07-25,土,,,,,,,,,,,,,,,,,,,,,,
アソサン,47821,官署,2026-07-26,日,,,,,,,,,,,,,,,,,,,,,,
アソサン,47821,官署,2026-07-27,月,,,,,,,,,,,,,,,,,,,,,,
アソサン,47821,官署,2026-07-28,火,,,,,,,,,,,,,,,,,,,,,,
アソサン,47821,官署,2026-07-29,水,,,,,,,,,,,,,,,,,,,,,,
アソサン,47821,官署,2026-07-30,木,,,,,,,,,,,,,,,,,,,,,,
アソサン,47821,官署,2026-07-31,金,,,,,,,,,,,,,,,,,,,,,,
ウシブカ,47838,官署,2026-07-01,水,1008.4,1010.1,3.0,3.0,2.0,26.1,27.8,24.0,92.0,83.0,4.1,7.6,南西,14.6,西南西,,0.0,,,,,precip_max_10min=)
ウシブカ,47838,官署,2026-07-02,木,1009.1,1010.8,26.5,23.0,16.5,25.0,26.7,23.3,90.0,81.0,3.5,8.7,南西,15.7,西南西,,0.8,,,,,
ウシブカ,47838,官署,2026-07-03,金,1011.4,1013.1,1.0,0.5,0.5,23.9,26.9,22.0,91.0,76.0,1.4,3.8,北西,5.8,北北西,,0.4,,,,,
ウシブカ,47838,官署,2026-07-04,土,1008.9,1010.6,0.5,0.5,0.5,25.5,26.7,22.5,94.0,90.0,3.5,7.1,南西,13.3,西南西,,0.0,,,,,
ウシブカ,47838,官署,2026-07-05,日,1008.1,1009.8,1.5,0.5,0.5,26.4,28.3,25.4,93.0,84.0,4.0,7.0,南西,12.2,南西,,0.5,,,,,precip_max_10min=)
ウシブカ,47838,官署,2026-07-06,月,1008.1,1009.8,0.0,0.0,0.0,26.5,28.6,25.5,92.0,80.0,2.6,5.7,西南西,9.2,南西,,0.6,,,,,
ウシブカ,47838,官署,2026-07-07,火,1008.9,1010.6,0.0,0.0,0.0,27.1,31.0,25.5,91.0,74.0,1.6,3.9,西南西,5.4,西南西,,6.0,,,,,
ウシブカ,47838,官署,2026-07-08,水,1009.6,1011.3,0.0,0.0,0.0,28.1,31.8,25.9,83.0,66.0,2.1,5.3,西,7.8,西,,9.0,,,,,
ウシブカ,47838,官署,2026-07-09,木,1010.2,1011.9,0.0,0.0,0.0,28.5,33.6,24.7,71.0,52.0,2.1,6.7,東南東,9.8,東南東,,10.0,,,,,
ウシブカ,47838,官署,2026-07-10,金,1010.3,1012.0,0.0,0.0,0.0,30.2,35.4,25.5,66.0,52.0,3.7,6.6,東,9.3,東,,12.4,,,,,
ウシブカ,47838,官署,2026-07-11,土,1010.1,1011.8,0.0,0.0,0.0,30.7,34.9,27.6,66.0,53.0,5.5,8.8,東,11.6,東,,11.4,,,,,
ウシブカ,47838,官署,2026-07-12,日,1011.3,1013.0,0.0,0.0,0.0,30.0,34.6,26.2,74.0,58.0,3.4,6.8,東北東,9.5,東北東,,11.8,,,,,
