地点,観測所番号,種別,日付,曜日,現地気圧(hPa),海面気圧(hPa),降水量合計(mm),最大1時間降水量(mm),最大10分間降水量(mm),平均気温(℃),最高気温(℃),最低気温(℃),平均湿度(%),最小湿度(%),平均風速(m/s),最大風速(m/s),最大風速の風向,最大瞬間風速(m/s),最大瞬間風速の風向,最多風向,日照時間(h),降雪合計(cm),最深積雪(cm),天気概況(昼),天気概況(夜),flags
オオイタ,47815,官署,2026-07-01,水,1007.5,1009.1,45.5,9.0,3.0,24.0,25.6,22.7,97.0,90.0,2.2,6.2,南,9.0,南南東,,0.0,0.0,0.0,雨後一時曇,大雨時々曇、雷を伴う,
オオイタ,47815,官署,2026-07-02,木,1007.9,1009.4,58.5,28.5,12.0,24.6,27.0,22.1,85.0,71.0,2.7,5.0,北北西,9.1,北西,,1.2,0.0,0.0,曇一時雨,曇時々晴,
オオイタ,47815,官署,2026-07-03,金,1010.9,1012.5,0.0,0.0,0.0,24.7,28.2,21.4,76.0,60.0,2.0,4.5,北,7.0,東北東,,4.9,0.0,0.0,曇時々晴,曇時々雨,
オオイタ,47815,官署,2026-07-04,土,1007.9,1009.5,70.5,27.0,9.5,24.6,29.7,21.8,91.0,76.0,1.4,4.2,南南東,7.3,北西,,0.5,0.0,0.0,大雨後時々曇、雷を伴う,曇時々晴,
オオイタ,47815,官署,2026-07-05,日,1007.4,1008.9,80.5,39.5,19.0,24.4,29.0,23.0,96.0,76.0,1.5,5.4,北北東,12.2,北,,1.3,0.0,0.0,大雨時々曇、雷を伴う,雨時々曇,
オオイタ,47815,官署,2026-07-06,月,1007.0,1008.5,6.5,3.5,1.5,25.8,29.5,23.5,92.0,75.0,1.6,3.4,北,5.8,北,,2.0,0.0,0.0,曇時々雨、雷を伴う,晴時々曇,
オオイタ,47815,官署,2026-07-07,火,1008.8,1010.3,0.0,0.0,0.0,27.2,31.7,23.6,84.0,67.0,2.7,6.3,南南東,10.5,南南東,,8.3,0.0,0.0,晴後曇一時雨、雷を伴う,曇後時々晴,
オオイタ,47815,官署,2026-07-08,水,1010.2,1011.7,0.0,0.0,0.0,28.8,33.5,25.6,74.0,58.0,4.4,7.4,南南東,11.0,東南東,,9.7,0.0,0.0,晴時々曇,曇後晴,
オオイタ,47815,官署,2026-07-09,木,1011.5,1013.0,0.0,0.0,0.0,27.8,33.0,24.9,71.0,52.0,3.8,6.6,南南東,10.8,南,,6.7,0.0,0.0,曇一時雨後晴,晴時々曇,
オオイタ,47815,官署,2026-07-10,金,1012.2,1013.8,0.0,0.0,0.0,27.9,32.4,23.4,76.0,61.0,3.8,7.4,南南東,12.1,南南東,,9.1,0.0,0.0,晴一時曇,曇時々晴,
