地点,観測所番号,種別,日付,曜日,現地気圧(hPa),海面気圧(hPa),降水量合計(mm),最大1時間降水量(mm),最大10分間降水量(mm),平均気温(℃),最高気温(℃),最低気温(℃),平均湿度(%),最小湿度(%),平均風速(m/s),最大風速(m/s),最大風速の風向,最大瞬間風速(m/s),最大瞬間風速の風向,最多風向,日照時間(h),降雪合計(cm),最深積雪(cm),天気概況(昼),天気概況(夜),flags
ミヤザキ,47830,官署,2026-07-01,水,1008.4,1010.1,0.5,0.5,0.5,27.3,30.8,23.4,81.0,61.0,3.6,7.5,南西,12.2,南西,,0.1,0.0,0.0,曇時々雨,曇後時々雨,
ミヤザキ,47830,官署,2026-07-02,木,1007.5,1009.2,14.5,13.5,4.0,27.7,31.5,24.8,77.0,61.0,4.7,9.4,西南西,15.5,西南西,,2.5,0.0,0.0,曇時々雨,曇一時晴,
ミヤザキ,47830,官署,2026-07-03,金,1010.6,1012.3,0.0,0.0,0.0,26.0,30.5,24.3,79.0,59.0,2.3,4.6,西南西,7.7,西南西,,3.0,0.0,0.0,曇一時雨,曇一時雨,
ミヤザキ,47830,官署,2026-07-04,土,1008.3,1010.0,0.0,0.0,0.0,27.5,31.3,24.3,81.0,67.0,3.6,7.2,西南西,11.7,西南西,,0.2,0.0,0.0,曇時々雨,晴一時雨後曇、雷を伴う,
ミヤザキ,47830,官署,2026-07-05,日,1007.7,1009.4,0.0,0.0,0.0,27.9,30.7,26.2,80.0,69.0,3.8,8.4,西,14.1,西南西,,1.8,0.0,0.0,曇時々雨、雷を伴う,曇時々雨,
ミヤザキ,47830,官署,2026-07-06,月,1007.0,1008.7,1.5,1.0,1.0,29.3,32.7,26.6,74.0,62.0,4.9,8.6,西,13.4,西南西,,5.9,0.0,0.0,曇後雨時々晴,晴時々曇,
ミヤザキ,47830,官署,2026-07-07,火,1009.1,1010.8,0.0,0.0,0.0,27.6,31.3,24.5,84.0,67.0,2.7,5.4,東南東,8.0,東南東,,8.0,0.0,0.0,晴後時々曇,曇一時雨,
ミヤザキ,47830,官署,2026-07-08,水,1011.0,1012.7,0.0,0.0,0.0,27.2,29.7,25.9,84.0,72.0,3.3,5.4,東南東,8.2,南東,,0.1,0.0,0.0,曇時々雨,曇後晴一時雨,
ミヤザキ,47830,官署,2026-07-09,木,1011.9,1013.6,0.5,0.5,0.5,26.7,30.0,24.0,79.0,60.0,3.1,5.6,東南東,8.3,東南東,,5.3,0.0,0.0,曇時々晴,雨時々曇一時晴,
ミヤザキ,47830,官署,2026-07-10,金,1012.5,1014.2,3.0,1.5,1.0,26.8,30.5,23.8,89.0,76.0,3.0,5.6,東南東,9.3,東南東,,3.6,0.0,0.0,雨後曇時々晴,曇時々雨,
ミヤザキ,47830,官署,2026-07-11,土,1012.5,1014.2,0.0,0.0,0.0,28.0,31.1,26.5,88.0,73.0,4.3,6.8,東南東,9.5,東,,3.0,0.0,0.0,曇後時々雨,曇後晴時々雨,
