地点,観測所番号,種別,日付,曜日,現地気圧(hPa),海面気圧(hPa),降水量合計(mm),最大1時間降水量(mm),最大10分間降水量(mm),平均気温(℃),最高気温(℃),最低気温(℃),平均湿度(%),最小湿度(%),平均風速(m/s),最大風速(m/s),最大風速の風向,最大瞬間風速(m/s),最大瞬間風速の風向,最多風向,日照時間(h),降雪合計(cm),最深積雪(cm),天気概況(昼),天気概況(夜),flags
アクネ,47823,官署,2026-07-01,水,1005.5,1010.3,10.5,7.0,5.0,26.0,29.2,24.2,97.0,85.0,4.0,6.7,南南西,13.2,南,,0.8,,,,,
アクネ,47823,官署,2026-07-02,木,1006.2,1011.0,6.5,6.0,4.5,24.9,26.7,23.5,97.0,87.0,3.0,7.4,西,11.9,西,,0.5,,,,,
アクネ,47823,官署,2026-07-03,金,1008.3,1013.2,0.0,0.0,0.0,23.7,26.4,22.3,95.0,82.0,1.5,3.6,西,5.3,西南西,,1.1,,,,,
アクネ,47823,官署,2026-07-04,土,1006.0,1010.8,5.0,3.5,3.5,25.6,27.1,23.0,99.0,94.0,3.1,4.8,南西,9.6,南西,,0.0,,,,,
アクネ,47823,官署,2026-07-05,日,1005.3,1010.1,6.0,4.0,3.5,26.3,28.9,25.3,98.0,90.0,3.5,5.3,南西,10.2,南西,,1.1,,,,,humidity_mean=];humidity_min=)
アクネ,47823,官署,2026-07-06,月,1005.2,1010.0,1.5,1.0,1.0,26.6,28.9,25.6,98.0,88.0,2.8,4.6,西南西,8.6,西南西,,1.5,,,,,
アクネ,47823,官署,2026-07-07,火,1005.8,1010.6,0.0,0.0,0.0,27.2,30.5,25.1,96.0,87.0,2.1,3.6,西南西,5.7,西南西,,6.5,,,,,
アクネ,47823,官署,2026-07-08,水,1006.4,1011.2,0.0,0.0,0.0,27.4,32.2,25.2,88.0,69.0,1.9,4.9,西南西,7.9,西南西,,9.4,,,,,humidity_mean=);humidity_min=);pressure_sea=);temp_max=);temp_mean=)
アクネ,47823,官署,2026-07-09,木,1007.0,1011.8,0.0,0.0,0.0,27.6,33.3,23.1,74.0,55.0,1.6,3.8,北西,6.4,南,,10.1,,,,,
アクネ,47823,官署,2026-07-10,金,1007.1,1011.9,0.0,0.0,0.0,29.3,35.0,23.4,67.0,46.0,2.1,3.6,東北東,7.5,南東,,13.1,,,,,
アクネ,47823,官署,2026-07-11,土,1007.0,1011.7,0.0,0.0,0.0,30.2,34.4,26.1,66.0,51.0,2.7,5.0,東南東,10.1,東南東,,11.7,,,,,
アクネ,47823,官署,2026-07-12,日,1008.1,1012.9,0.0,0.0,0.0,29.9,34.5,26.8,72.0,54.0,2.0,5.5,南西,9.1,南南西,,11.5,,,,,
アクネ,47823,官署,2026-07-13,月,1008.1,1012.9,0.0,0.0,0.0,28.8,32.9,24.8,80.0,64.0,2.1,4.4,南西,7.5,南西,,12.2,,,,,
アクネ,47823,官署,2026-07-14,火,1006.6,1011.4,0.0,0.0,0.0,28.3,31.9,25.6,82.0,67.0,2.5,4.4,南西,7.7,南西,,12.0,,,,,
アクネ,47823,官署,2026-07-15,水,1002.8,1007.6,0.0,0.0,0.0,28.2,31.5,27.0,88.0,75.0,3.1,5.1,南南西,9.3,南南西,,3.5,,,,,
アクネ,47823,官署,2026-07-16,木,1000.5,1005.2,0.0,0.0,0.0,28.0,31.0,26.5,88.0,77.0,2.5,4.4,西南西,7.0,西南西,,2.4,,,,,
アクネ,47823,官署,2026-07-17,金,999.6,1004.3,0.0,0.0,0.0,27.8,30.3,26.5,90.0,78.0,1.7,3.4,西南西,5.0,西南西,,0.0,,,,,
アクネ,47823,官署,2026-07-18,土,999.4,1004.1,0.0,0.0,0.0,28.3,32.1,25.3,85.0,70.0,2.2,4.4,南西,7.7,南西,,9.2,,,,,
アクネ,47823,官署,2026-07-19,日,1001.8,1006.5,8.0,6.5,4.5,28.7,32.5,26.6,86.0,70.0,2.6,4.5,西南西,7.5,西,,10.4,,,,,
アクネ,47823,官署,2026-07-20,月,1004.2,1009.0,0.0,0.0,0.0,28.9,32.0,26.6,84.0,69.0,1.9,4.0,西,5.5,西北西,,10.5,,,,,
アクネ,47823,官署,2026-07-21,火,1005.5,1010.3,0.0,0.0,0.0,29.0,32.1,27.1,83.0,68.0,1.8,4.1,西,5.7,西,,11.0,,,,,
アクネ,47823,官署,2026-07-22,水,1005.7,1010.5,0.0,0.0,0.0,28.9,32.4,26.1,83.0,68.0,2.1,4.4,西,6.1,西,,12.5,,,,,
アクネ,47823,官署,2026-07-23,木,1006.0,1010.7,0.0,0.0,0.0,28.6,32.8,25.7,83.0,67.0,2.3,4.2,西,6.3,北西,,12.5,,,,,
アクネ,47823,官署,2026-07-24,金,1007.2,1012.0,0.0,0.0,0.0,28.8,32.7,25.6,82.0,62.0,2.4,4.6,西北西,7.5,北西,,12.6,,,,,
アクネ,47823,官署,2026-07-25,土,1007.4,1012.1,0.0,0.0,0.0,29.2,32.3,26.2,82.0,68.0,2.5,5.3,西北西,8.5,北西,,13.1,,,,,
アクネ,47823,官署,2026-07-26,日,1006.2,1010.9,0.0,0.0,0.0,29.3,34.2,25.6,80.0,54.0,2.4,4.6,北西,7.9,北西,,13.1,,,,,
