地点,観測所番号,種別,日付,曜日,現地気圧(hPa),海面気圧(hPa),降水量合計(mm),最大1時間降水量(mm),最大10分間降水量(mm),平均気温(℃),最高気温(℃),最低気温(℃),平均湿度(%),最小湿度(%),平均風速(m/s),最大風速(m/s),最大風速の風向,最大瞬間風速(m/s),最大瞬間風速の風向,最多風向,日照時間(h),降雪合計(cm),最深積雪(cm),天気概況(昼),天気概況(夜),flags
佐賀,47813,官署,2026-07-01,水,1006.0,1007.4,0.0,0.0,0.0,33.0,36.4,30.3,82,64,3.4,10.6,北東,12.0,北西,,3.2,0.0,0.0,曇時々晴,晴,
佐賀,47813,官署,2026-07-02,木,1002.1,1003.5,2.3,0.8,0.2,28.2,32.7,23.8,74,62,3.6,8.9,北,23.4,北東,,9.5,0.0,0.0,曇,晴,
佐賀,47813,官署,2026-07-03,金,1009.8,1011.2,0.0,0.0,0.0,28.4,31.5,24.7,79,41,2.6,11.9,南,13.7,南西,,8.9,0.0,0.0,晴,晴後曇,
佐賀,47813,官署,2026-07-04,土,1000.3,1001.7,0.0,0.0,0.0,31.5,36.1,27.7,77,45,2.0,7.7,南西,10.5,北東,,9.2,0.0,0.0,大雨,雨,
佐賀,47813,官署,2026-07-05,日,1003.8,1005.2,0.0,0.0,0.0,27.1,31.8,24.1,90,47,3.5,4.7,北,15.9,西,,7.6,0.0,0.0,大雨,曇一時雨,
佐賀,47813,官署,2026-07-06,月,1000.9,1002.3,18.3,4.6,2.0,27.4,32.3,24.2,71,41,2.5,8.4,東,10.0,南西,,4.8,0.0,0.0,曇,雨,
佐賀,47813,官署,2026-07-07,火,1007.7,1009.1,0.0,0.0,0.0,31.6,35.2,28.4,84,69,3.7,5.6,南東,23.6,北,,0.8,0.0,0.0,大雨,雨,
佐賀,47813,官署,2026-07-08,水,1000.7,1002.1,0.0,0.0,0.0,24.8,29.6,20.9,79,55,3.7,11.9,南東,17.5,南西,,10.5,0.0,0.0,雨,雨,
佐賀,47813,官署,2026-07-09,木,1011.5,1012.9,0.0,0.0,0.0,28.1,32.8,26.0,69,47,3.9,4.3,北西,12.0,南西,,7.1,0.0,0.0,曇一時雨,曇一時雨,
佐賀,47813,官署,2026-07-10,金,1009.4,1010.8,0.0,0.0,0.0,31.1,35.8,29.5,73,61,2.7,5.5,西,8.1,南東,,8.7,0.0,0.0,晴後曇,曇一時雨,
佐賀,47813,官署,2026-07-11,土,1007.8,1009.2,0.0,0.0,0.0,27.8,32.2,22.5,83,67,3.7,11.4,北西,18.6,北,,3.9,0.0,0.0,曇時々晴,大雨,
佐賀,47813,官署,2026-07-12,日,1009.4,1010.8,0.0,0.0,0.0,27.9,31.7,25.6,71,65,2.0,7.0,南,10.3,北東,,6.3,0.0,0.0,曇一時雨,曇一時雨,
佐賀,47813,官署,2026-07-13,月,1006.3,1007.7,0.0,0.0,0.0,25.0,28.7,21.9,91,44,1.8,6.8,南,16.7,北西,,8.8,0.0,0.0,晴,晴後曇,
佐賀,47813,官署,2026-07-14,火,1001.5,1002.9,0.0,0.0,0.0,30.9,35.3,26.6,90,59,4.0,4.2,南東,16.4,北西,,0.3,0.0,0.0,大雨,曇,
佐賀,47813,官署,2026-07-15,水,1005.6,1007.0,16.7,7.8,1.4,29.6,34.5,25.5,87,51,2.5,7.3,北西,23.4,南,,10.3,0.0,0.0,曇,雨,
佐賀,47813,官署,2026-07-16,木,1003.7,1005.1,0.0,0.0,0.0,30.9,35.8,27.7,77,57,3.0,9.6,北,20.9,北,,6.2,0.0,0.0,雨,晴,
佐賀,47813,官署,2026-07-17,金,1009.9,1011.3,0.1,0.0,0.0,29.7,34.7,26.8,87,66,3.3,11.5,北,16.0,東,,8.7,0.0,0.0,晴後曇,晴後曇,
佐賀,47813,官署,2026-07-18,土,1006.4,1007.8,0.0,0.0,0.0,31.3,35.6,29.4,91,64,3.2,9.9,南東,8.7,北西,,6.3,0.0,0.0,晴後曇,雨,
佐賀,47813,官署,2026-07-19,日,1010.4,1011.8,0.0,0.0,0.0,30.7,34.9,28.1,75,51,2.4,9.9,南東,23.6,南,,6.3,0.0,0.0,晴後曇,曇一時雨,
佐賀,47813,官署,2026-07-20,月,1002.3,1003.7,9.4,3.5,0.6,29.3,32.5,22.5,65,44,1.5,4.6,東,23.1,西,,4.1,0.0,0.0,曇時々晴,曇一時雨,
佐賀,47813,官署,2026-07-21,火,1004.1,1005.5,0.0,0.0,0.0,26.0,30.9,22.4,74,62,2.8,5.0,南西,12.5,南東,,9.0,0.0,0.0,晴後曇,曇時々晴,
佐賀,47813,官署,2026-07-22,水,1000.3,1001.7,0.0,0.0,0.0,29.5,32.8,24.1,79,53,2.4,7.3,南西,12.3,北,,5.7,0.0,0.0,晴,曇一時雨,
佐賀,47813,官署,2026-07-23,木,1007.1,1008.5,39.6,11.3,5.1,29.5,33.0,25.3,67,61,2.6,10.3,西,11.2,東,,5.2,0.0,0.0,大雨,晴後曇,
佐賀,47813,官署,2026-07-24,金,1009.8,1011.2,8.0,3.8,0.6,24.0,28.1,20.2,71,61,3.3,11.7,北東,16.8,北,,5.0,0.0,0.0,曇,雨,
佐賀,47813,官署,2026-07-25,土,1006.0,1007.4,35.0,8.5,4.0,32.2,36.2,27.1,74,41,3.3,5.1,北,14.2,南東,,5.1,0.0,0.0,曇一時雨,曇一時雨,
佐賀,47813,官署,2026-07-26,日,1000.8,1002.2,0.0,0.0,0.0,30.0,33.7,25.4,82,41,3.7,6.2,西,22.7,南,,8.8,0.0,0.0,大雨,大雨,
佐賀,47813,官署,2026-07-27,月,1011.3,1012.7,0.0,0.0,0.0,23.6,28.3,21.4,66,65,1.6,10.5,北東,22.3,東,,2.4,0.0,0.0,曇一時雨,晴,
佐賀,47813,官署,2026-07-28,火,1001.3,1002.7,0.0,0.0,0.0,28.3,32.2,25.0,83,55,1.7,11.0,南東,12.0,東,,10.8,0.0,0.0,雨,晴後曇,
佐賀,47813,官署,2026-07-29,水,1005.3,1006.7,44.5,19.7,2.3,30.8,34.4,25.7,72,62,3.5,6.7,北東,13.4,北西,,3.6,0.0,0.0,大雨,曇時々晴,
佐賀,47813,官署,2026-07-30,木,1007.3,1008.7,0.4,0.2,0.1,27.5,31.4,23.7,71,46,1.8,8.2,北,20.3,北西,,4.9,0.0,0.0,雨,晴後曇,
